DefaultSC.ElapsedSecs     DefaultSC.Earth.Altitude   DefaultSC.Earth.Longitude   DefaultSC.VX              DefaultSC.VY              DefaultSC.VZ              DefaultSC.X               DefaultSC.Y               DefaultSC.Z               DefaultSC.DefaultProp_ForceModel.AtmosDensity   
0                         210.8797827283815          125.5764068641634           4.504094504729249         3.530755877205864         -5.288838861423942        5313.198930508489         -2912.36846117576         2580.583073079562         0.1402195417068985                              
29.41298388177529         210.4997085064406          126.9035615606996           4.283240258474272         3.648195048287685         -5.39190937112554         5442.442880974523         -2806.780689007463        2423.490910322886         0.1423197632877474                              
36.37988056289032         210.4150427745362          127.2134940244254           4.230155508584891         3.675374249113502         -5.415372781887032        5472.099023577795         -2781.269270235012        2385.844088608453         0.1427973001346186                              
46.82468912797049         210.2920479439772          127.675116416123            4.150031658998612         3.715655734424479         -5.449860399509912        5515.864307704593         -2742.669834988037        2329.100726905901         0.1432398036987914                              
56.22816514223814         210.1854069559959          128.0876891751483           4.077351976844741         3.751438671145428         -5.480198733831881        5554.547711284423         -2707.56115225325         2277.709921544703         0.1438509684634215                              
73.16411199280992         210.003286557022           128.823780312696            3.945183134324734         3.814716733069011         -5.533127239122829        5622.484604252799         -2643.489017025954        2184.446253082424         0.1449137983005819                              
95.95046433387324         209.7788595805687          129.8007307424604           3.764861232397684         3.897444354349873         -5.600833256497608        5710.331832357182         -2555.617709854501        2057.587401233952         0.1462648632852975                              
125.4676023731008         209.5242685818221          131.045045871043            3.527216176723898         4.000407194650927         -5.682482706077948        5817.96342450488          -2439.04492305666         1891.044881151554         0.1478736024688315                              
162.8783539286815         209.262095576506           132.5911199675232           3.219863578473136         4.12390596695572          -5.77599831467213         5944.190731560599         -2287.051862369623        1676.674681292505         0.1496689463987774                              
203.2949607353658         209.0574317492219          134.227390372174            2.880737826328053         4.248271649346305         -5.864303714320332        6067.49705071557          -2117.832203004658        1441.399067577039         0.151281033056519                               
243.9220619620755         208.9364946517335          135.8420202691731           2.533209143105192         4.363521713158339         -5.939547419815752        6177.494702426401         -1942.862491861251        1201.574723333146         0.1525321752585129                              
286.5669463877566         208.9033272605839          137.5102120171767           2.162149741953796         4.473671238201092         -6.003751719087148        6277.632407432518         -1754.392049411744        946.8603232314518         0.1534184021143026                              
330.6786642875522         208.9720056173674          139.2134005359548           1.772572550632949         4.575647471412527         -6.054067320839122        6364.43567530379          -1554.756311972174        680.854318334144          0.153845591322789                               
382.2317425743677         209.1866683214003          141.1836263350748           1.31128560770761          4.679042414988877         -6.091947524568672        6443.951240542491         -1316.128559538077        367.674885562154          0.1536803589117022                              
463.9608418685384         209.8249539918907          144.2859416206428           0.5708549995162571        4.807218211483594         -6.105499954620923        6520.922410470183         -928.174912726015         -131.157352564711         0.1518984861937495                              
550.9939140407369         210.9008859775468          147.6000961276835           -0.2230079968300252       4.894395194640349         -6.057197963490467        6536.07013962413          -505.621597832138         -660.9039834420682        0.147977848507716                               
638.6782842921093         212.3809583460798          150.9978497975585           -1.019969167001459        4.92991459871548          -5.943689010541839        6481.522866057611         -74.51678826193928        -1187.520848918519        0.1421262060949044                              
725.8843840914778         214.2184063444447          154.4862675705711           -1.801209901966793        4.912848611689246         -5.767545555403933        6358.397679292822         355.037215696454          -1698.618464241125        0.1347989103152314                              
812.9317311686464         216.3766524210823          158.1310402866261           -2.561372204163537        4.84396937442525          -5.530800470845165        6168.349949326106         780.0632551389658         -2190.79678781361         0.1264711398758431                              
900.4531355341896         218.8242384378336          162.0194253233059           -3.297726029830967        4.723329234345099         -5.234068056518124        5911.718256422544         1199.106405634561         -2662.293036937318        0.1175786627349157                              
987.9532003076747         221.4927222278247          166.1981363135233           -3.998052695172996        4.552608336106384         -4.881879908702708        5592.238673984654         1605.287960311719         -3105.257460962628        0.1086087125725006                              
1075.416299002245         224.3189239950207          170.7410067323242           -4.65485260707797         4.333821488519646         -4.478252548994842        5213.492817976602         1994.247847967672         -3514.951003738162        0.09989712101152529                             
1163.405896991026         227.2556752132432          175.7636191690955           -5.265018566399184        4.067624176635354         -4.024634790250182        4776.673706725882         2364.196528085339         -3889.365950850514        0.09160625410358295                             
1250.761995033827         230.1966745977734          -178.7139446619904          -5.814261235171037        3.760535704505973         -3.532021349287537        4292.320751148689         2706.414110157265         -4219.713566557907        0.08394997750345995                             
1338.22092928458          233.1002001544512          -172.5659564202311          -6.302037627350609        3.413715426391379         -3.001984688076123        3762.009370769801         3020.414240979045         -4505.690555623531        0.07688310708561796                             
1425.987139390782         235.9093347845437          -165.7066842142016          -6.724028158460594        3.029848545325361         -2.438753948754521        3189.873884435242         3303.425658150369         -4744.654898293827        0.07037193093875627                             
1514.033412351273         238.5634097524517          -158.1048241092986          -7.075097710544463        2.612858783211306         -1.84826817957526         2581.847875320149         3552.053670832444         -4933.547191762475        0.06439185122608659                             
1601.464039762504         240.9851061559339          -149.8858122992744          -7.348570737739563        2.171605160460661         -1.242935855036339        1950.75617297951          3761.388598336375         -5068.79475239994         0.05898463006004037                             
1689.541621331591         243.1660800351601          -141.07145908079            -7.54561305615669         1.704436888211183         -0.6204837979196446       1294.248191428937         3932.233725938334         -5150.92653145602         0.05408547958454801                             
1777.150949556381         245.0445399869213          -132.0101768231499          -7.661581700536875        1.22211969885698          0.00470342216953127       627.5143780968447         4060.540580191856         -5177.920591277979        0.04979778525301959                             
1865.079799597152         246.6148937060216          -122.9244774705044          -7.69663672458366         0.7254670594278491        0.6316221607833941        -48.29997399307559        4146.238430228965         -5149.91667649487         0.04613559425985236                             
